event_id,event_name,dcat_id,dcat,status_as_of,athlete_id,athlete_name,athlete_country,comp_rank,round,score,round_rank,comp_id,birthday,gender,first_season,height,arm_span
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,1364,Ondra Adam,CZE,1.0,Qualification,4T5z 14 9,1.0,11873,1993-02-05,male,2007,186.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,1364,Ondra Adam,CZE,1.0,Semi-Final,3T3z 7 6,1.0,11873,1993-02-05,male,2007,186.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,1364,Ondra Adam,CZE,1.0,Final,3T3z 10 7,1.0,11873,1993-02-05,male,2007,186.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2309,Ogata Yoshiyuki,JPN,2.0,Qualification,2T5z 8 11,17.0,11873,1998-02-04,male,2014,172.0,181.0
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2309,Ogata Yoshiyuki,JPN,2.0,Semi-Final,2T3z 6 8,3.0,11873,1998-02-04,male,2014,172.0,181.0
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2309,Ogata Yoshiyuki,JPN,2.0,Final,2T4z 7 9,2.0,11873,1998-02-04,male,2014,172.0,181.0
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2291,Takata Tomoaki,JPN,3.0,Qualification,2T5z 6 12,13.0,11873,1995-02-20,male,2012,175.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2291,Takata Tomoaki,JPN,3.0,Semi-Final,2T3z 5 6,2.0,11873,1995-02-20,male,2012,175.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2291,Takata Tomoaki,JPN,3.0,Final,1T4z 4 12,3.0,11873,1995-02-20,male,2012,175.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2272,Fujii Kokoro,JPN,4.0,Qualification,4T5z 5 5,1.0,11873,1992-11-30,male,2010,176.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2272,Fujii Kokoro,JPN,4.0,Semi-Final,2T2z 6 2,6.0,11873,1992-11-30,male,2010,176.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,2272,Fujii Kokoro,JPN,4.0,Final,1T3z 1 4,4.0,11873,1992-11-30,male,2010,176.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,1778,Coleman Nathaniel,USA,5.0,Qualification,3T5z 5 6,5.0,11873,1997-01-01,male,2014,182.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,1778,Coleman Nathaniel,USA,5.0,Semi-Final,2T2z 4 3,5.0,11873,1997-01-01,male,2014,182.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,1778,Coleman Nathaniel,USA,5.0,Final,1T3z 2 5,5.0,11873,1997-01-01,male,2014,182.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,11871,Amagasa Sohta,JPN,6.0,Qualification,3T5z 5 17,3.0,11873,2000-06-14,male,2019,176.0,
1187,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,3,BOULDER Men,2021-04-18 00:00:13 UTC,11871,Amagasa Sohta,JPN,6.0,Semi-Final,2T3z 10 11,4.0,11873,2000-06-14,male,2019,176.0,
